Zona de vida,Nombre científico,Nombre común,Familia,Grupo sucesional,Amenaza (IUCN/Nacional),Observaciones
Bosque húmedo tropical,Pachira quinata,Ceiba tolúa / Ceiba roja,Malvaceae,Tardía,VU,Sin. Bombacopsis quinata (mismo taxón; aparecía duplicado). Amenaza: EN según Libro Rojo de Colombia (Cárdenas & Salinas 2007); IUCN global=VU (1998).
Bosque húmedo tropical,Pseudobombax septenatum,Ceiba barrigona,Malvaceae,Secundaria,LC,
Bosque húmedo tropical,Samanea saman,Campano,Fabaceae,Secundaria,LC,Grupo sucesional inconsistente entre zonas de vida (Pionera vs. Secundaria) en el archivo original; no se encontró fuente concluyente para unificar. Revisar con criterio de campo.
Bosque húmedo tropical,Spondias mombin,Jobo,Anacardiaceae,Pionera,LC,
Bosque húmedo tropical,Sterculia apetala,Camajón,Malvaceae,Secundaria tardía,LC,
Bosque húmedo tropical,Swietenia macrophylla,Caoba,Meliaceae,Tardía,VU,
Bosque húmedo tropical,Tabebuia rosea,Ocobo,Bignoniaceae,Secundaria tardía,LC,
Bosque húmedo tropical,Tapirira guianensis,Cedrillo,Anacardiaceae,Secundaria,LC,
Bosque húmedo tropical,Terminalia amazonia,Guayabo amarillo / Amarillo,Combretaceae,Secundaria tardía,LC,
Bosque húmedo tropical,Trema micranthum,Zurrumbo,Cannabaceae,Pionera,LC,
Bosque húmedo tropical,Trichanthera gigantea,Nacedero,Acanthaceae,Pionera,LC,
Bosque húmedo tropical,Triplaris americana,Varasanta,Polygonaceae,Pionera,LC,
Bosque húmedo tropical,Vismia baccifera,Carate,Hypericaceae,Pionera,LC,
Bosque húmedo tropical,Xylopia aromatica,Frisolillo,Annonaceae,Secundaria,LC,
Bosque húmedo tropical,Zanthoxylum rhoifolium,Tachuelo,Rutaceae,Secundaria,LC,
Bosque muy seco tropical,Anacardium excelsum,Caracolí,Anacardiaceae,Tardía,LC,
Bosque muy seco tropical,Astronium graveolens,Diomate,Anacardiaceae,Secundaria tardía,VU,
Bosque muy seco tropical,Bulnesia arborea,Guayacán de bola,Zygophyllaceae,Secundaria tardía,EN,"Nombre aceptado; ""Plectrocarpa arborea"" es sinónimo. EN confirmado para bs-T Caribe."
Bosque muy seco tropical,Caesalpinia coriaria,Dividivi,Fabaceae,Pionera,LC,
Bosque muy seco tropical,Cordia dentata,Uvito,Boraginaceae,Pionera,LC,
Bosque muy seco tropical,Crescentia cujete,Totumo,Bignoniaceae,Pionera,LC,
Bosque muy seco tropical,Guazuma ulmifolia,Guásimo,Malvaceae,Pionera,LC,
Bosque muy seco tropical,Handroanthus billbergii,Guayacán rosado,Bignoniaceae,Secundaria tardía,LC,"Catálogo de Plantas de Colombia: ""No evaluada"" formalmente. Verificar antes de reportar como LC."
Bosque muy seco tropical,Platymiscium pinnatum,Trébol,Fabaceae,Secundaria tardía,VU,
Bosque seco (muy seco) tropical,Anacardium excelsum,Caracolí,Anacardiaceae,Tardía,LC,
Bosque seco (muy seco) tropical,Cedrela odorata,Cedro,Meliaceae,Secundaria tardía,VU,
Bosque seco (muy seco) tropical,Cordia dentata,Uvito,Boraginaceae,Pionera,LC,
Bosque seco (muy seco) tropical,Enterolobium cyclocarpum,Orejero,Fabaceae,Secundaria,LC,
Bosque seco (muy seco) tropical,Erythrina fusca,Cantagallo,Fabaceae,Secundaria,LC,
Bosque seco (muy seco) tropical,Guazuma ulmifolia,Guásimo,Malvaceae,Pionera,LC,
Bosque seco (muy seco) tropical,Samanea saman,Campano,Fabaceae,Pionera,LC,Grupo sucesional inconsistente entre zonas de vida (Pionera vs. Secundaria) en el archivo original; no se encontró fuente concluyente para unificar. Revisar con criterio de campo.
Bosque seco (muy seco) tropical,Sapium glandulosum,Lechero,Euphorbiaceae,Pionera,LC,
Bosque seco (muy seco) tropical,Senna atomaria,Vainillo,Fabaceae,Pionera,LC,
Bosque seco (muy seco) tropical,Tabebuia rosea,Ocobo / Roble,Bignoniaceae,Secundaria tardía,LC,
Bosque seco montano bajo,Berberis glauca,Alcaparro,Berberidaceae,Pionera,LC,
Bosque seco montano bajo,Celtis iguanaea,Palo yuco,Cannabaceae,Pionera,LC,
Bosque seco montano bajo,Dodonaea viscosa,Hayuelo,Sapindaceae,Pionera,LC,
Bosque seco montano bajo,Duranta mutisii,Garrocho,Verbenaceae,Pionera,LC,
Bosque seco montano bajo,Hesperomeles goudotiana,Mortiño,Rosaceae,Pionera,LC,
Bosque seco montano bajo,Kageneckia lanceolata,Lloque / Corono,Rosaceae,Pionera,LC,
Bosque seco montano bajo,Myrcianthes leucoxyla,Arrayán,Myrtaceae,Secundaria,LC,
Bosque seco montano bajo,Prunus serotina subsp. capuli,Cerezo andino,Rosaceae,Secundaria,LC,
Bosque seco montano bajo,Ruprechtia ramiflora,Cucharo / Moquillo,Polygonaceae,Secundaria,LC,
Bosque seco montano bajo,Schinus molle,Muelle / Falso pimiento,Anacardiaceae,Pionera,LC,
Bosque seco montano bajo,Tecoma stans,Chicalá amarillo,Bignoniaceae,Pionera,LC,
Matorral desértico tropical,Bulnesia arborea,Guayacán de bola,Zygophyllaceae,Secundaria tardía,EN,"Nombre aceptado; ""Plectrocarpa arborea"" es sinónimo. EN confirmado para bs-T Caribe."
Matorral desértico tropical,Caesalpinia coriaria,Dividivi,Fabaceae,Pionera,LC,
Matorral desértico tropical,Melocactus curvispinus,Cabeza de indio,Cactaceae,Pionera,LC,
Matorral desértico tropical,Pereskia guamacho,Guamacho,Cactaceae,Pionera,LC,
Matorral desértico tropical,Stenocereus griseus,Cardón,Cactaceae,Pionera,LC,
Matorral desértico tropical,Subpilocereus repandus,Pitahayo,Cactaceae,Pionera,LC,
Monte espinoso tropical,Bulnesia arborea,Guayacán de bola,Zygophyllaceae,Secundaria tardía,EN,"Nombre aceptado; ""Plectrocarpa arborea"" es sinónimo. EN confirmado para bs-T Caribe."
Monte espinoso tropical,Bursera simaruba,Copal / Indio desnudo,Burseraceae,Pionera,LC,
Monte espinoso tropical,Caesalpinia coriaria,Dividivi,Fabaceae,Pionera,LC,
Monte espinoso tropical,Cordia dentata,Uvito,Boraginaceae,Pionera,LC,
Monte espinoso tropical,Haematoxylum brasiletto,Brasil,Fabaceae,Secundaria,LC,
Monte espinoso tropical,Neltuma juliflora,Trupillo,Fabaceae,Pionera,LC,
Monte espinoso tropical,Pereskia guamacho,Guamacho,Cactaceae,Pionera,LC,
