Código zona de vida,Zona de vida,Nombre científico,Nombre común,Familia,Grupo sucesional,Amenaza (IUCN/Nacional),Observaciones
bs-MB,Bosque seco montano bajo,Berberis glauca,Alcaparro,Berberidaceae,Pionera,LC,
bs-MB,Bosque seco montano bajo,Celtis iguanaea,Palo yuco,Cannabaceae,Pionera,LC,
bs-MB,Bosque seco montano bajo,Dodonaea viscosa,Hayuelo,Sapindaceae,Pionera,LC,
bs-MB,Bosque seco montano bajo,Duranta mutisii,Garrocho,Verbenaceae,Pionera,LC,
bs-MB,Bosque seco montano bajo,Hesperomeles goudotiana,Mortiño,Rosaceae,Pionera,LC,
bs-MB,Bosque seco montano bajo,Kageneckia lanceolata,Lloque / Corono,Rosaceae,Pionera,LC,
bs-MB,Bosque seco montano bajo,Myrcianthes leucoxyla,Arrayán,Myrtaceae,Secundaria,LC,
bs-MB,Bosque seco montano bajo,Prunus serotina subsp. capuli,Cerezo andino,Rosaceae,Secundaria,LC,
bs-MB,Bosque seco montano bajo,Ruprechtia ramiflora,Cucharo / Moquillo,Polygonaceae,Secundaria,LC,
bs-MB,Bosque seco montano bajo,Schinus molle,Muelle / Falso pimiento,Anacardiaceae,Pionera,LC,
bs-MB,Bosque seco montano bajo,Tecoma stans,Chicalá amarillo,Bignoniaceae,Pionera,LC,
bs-T,Bosque seco tropical,Anacardium excelsum,Caracolí,Anacardiaceae,Tardía,LC,
bs-T,Bosque seco tropical,Astronium graveolens,Diomate,Anacardiaceae,Secundaria tardía,VU,
bs-T,Bosque seco tropical,Bulnesia arborea,Guayacán de bola,Zygophyllaceae,Secundaria tardía,EN,"Nombre aceptado; ""Plectrocarpa arborea"" es sinónimo. EN confirmado para bs-T Caribe."
bs-T,Bosque seco tropical,Caesalpinia coriaria,Dividivi,Fabaceae,Pionera,LC,
bs-T,Bosque seco tropical,Cedrela odorata,Cedro,Meliaceae,Secundaria tardía,VU,
bs-T,Bosque seco tropical,Cordia dentata,Uvito,Boraginaceae,Pionera,LC,
bs-T,Bosque seco tropical,Crescentia cujete,Totumo,Bignoniaceae,Pionera,LC,
bs-T,Bosque seco tropical,Enterolobium cyclocarpum,Orejero,Fabaceae,Secundaria,LC,
bs-T,Bosque seco tropical,Erythrina fusca,Cantagallo,Fabaceae,Secundaria,LC,
bs-T,Bosque seco tropical,Guazuma ulmifolia,Guásimo,Malvaceae,Pionera,LC,
bs-T,Bosque seco tropical,Handroanthus billbergii,Guayacán rosado,Bignoniaceae,Secundaria tardía,LC,"Catálogo de Plantas de Colombia: ""No evaluada"" formalmente. Verificar antes de reportar como LC."
bs-T,Bosque seco tropical,Platymiscium pinnatum,Trébol,Fabaceae,Secundaria tardía,VU,
bs-T,Bosque seco tropical,Samanea saman,Campano,Fabaceae,Pionera,LC,Grupo sucesional inconsistente entre zonas de vida (Pionera vs. Secundaria) en el archivo original; no se encontró fuente concluyente para unificar. Revisar con criterio de campo.
bs-T,Bosque seco tropical,Sapium glandulosum,Lechero,Euphorbiaceae,Pionera,LC,
bs-T,Bosque seco tropical,Senna atomaria,Vainillo,Fabaceae,Pionera,LC,
bs-T,Bosque seco tropical,Tabebuia rosea,Ocobo / Roble,Bignoniaceae,Secundaria tardía,LC,
md-T,Matorral desértico tropical,Bulnesia arborea,Guayacán de bola,Zygophyllaceae,Secundaria tardía,EN,"Nombre aceptado; ""Plectrocarpa arborea"" es sinónimo. EN confirmado para bs-T Caribe."
md-T,Matorral desértico tropical,Caesalpinia coriaria,Dividivi,Fabaceae,Pionera,LC,
md-T,Matorral desértico tropical,Melocactus curvispinus,Cabeza de indio,Cactaceae,Pionera,LC,
md-T,Matorral desértico tropical,Pereskia guamacho,Guamacho,Cactaceae,Pionera,LC,
md-T,Matorral desértico tropical,Stenocereus griseus,Cardón,Cactaceae,Pionera,LC,
md-T,Matorral desértico tropical,Subpilocereus repandus,Pitahayo,Cactaceae,Pionera,LC,
me-T,Monte espinoso tropical,Bulnesia arborea,Guayacán de bola,Zygophyllaceae,Secundaria tardía,EN,"Nombre aceptado; ""Plectrocarpa arborea"" es sinónimo. EN confirmado para bs-T Caribe."
me-T,Monte espinoso tropical,Bursera simaruba,Copal / Indio desnudo,Burseraceae,Pionera,LC,
me-T,Monte espinoso tropical,Caesalpinia coriaria,Dividivi,Fabaceae,Pionera,LC,
me-T,Monte espinoso tropical,Cordia dentata,Uvito,Boraginaceae,Pionera,LC,
me-T,Monte espinoso tropical,Haematoxylum brasiletto,Brasil,Fabaceae,Secundaria,LC,
me-T,Monte espinoso tropical,Neltuma juliflora,Trupillo,Fabaceae,Pionera,LC,
me-T,Monte espinoso tropical,Pereskia guamacho,Guamacho,Cactaceae,Pionera,LC,
